"Name","Team","Rank","Andy","Jason","Mike"
"Jonathan Taylor","IND","1","2","1","1"
"Christian McCaffrey","CAR","2","1","2","2"
"Austin Ekeler","LAC","3","3","4","3"
"Derrick Henry","TEN","4","5","3","5"
"Dalvin Cook","MIN","5","7","5","4"
"Alvin Kamara","NO","6","6","9","6"
"Joe Mixon","CIN","7","4","7","12"
"Najee Harris","PIT","8","12","6","9"
"Ezekiel Elliott","DAL","9","8","12","8"
"Aaron Jones","GB","10","10","11","10"
"Leonard Fournette","TB","11","9","10","13"
"D'Andre Swift","DET","12","13","8","11"
"James Conner","ARI","13","11","14","7"
"Nick Chubb","CLE","14","14","15","16"
"Javonte Williams","DEN","15","18","13","14"
"Saquon Barkley","NYG","16","15","17","15"
"David Montgomery","CHI","17","16","18","20"
"Breece Hall","NYJ","18","21","16","23"
"Josh Jacobs","LV","19","17","23","21"
"Antonio Gibson","WAS","20","22","21","18"
"Cordarrelle Patterson","ATL","21","19","19","26"
"Travis Etienne Jr.","JAX","22","27","20","19"
"Chase Edmonds","MIA","23","24","22","25"
"Cam Akers","LAR","24","29","27","17"
"Clyde Edwards-Helaire","KC","25","26","31","22"
"Elijah Mitchell","SF","26","30","25","24"
"Kareem Hunt","CLE","27","23","29","28"
"AJ Dillon","GB","28","20","34","27"
"J.K. Dobbins","BAL","29","25","24","32"
"Damien Harris","NE","30","34","26","29"
"Miles Sanders","PHI","31","28","32","30"
"Tony Pollard","DAL","32","33","28","34"
"Devin Singletary","BUF","33","32","35","33"
"Melvin Gordon III","DEN","34","36","30","35"
"Rashaad Penny","SEA","35","39","33","31"
"Rhamondre Stevenson","NE","36","31","37","40"
"Kenneth Walker III","SEA","37","38","36","38"
"Darrell Henderson Jr.","LAR","38","41","39","41"
"Jamaal Williams","DET","39","42","43","36"
"J.D. McKissic","WAS","40","37","50","42"
"Dameon Pierce","HOU","41","47","46","39"
"Michael Carter","NYJ","42","35","49","51"
"Mark Ingram II","NO","43","43","42","52"
"Kenneth Gainwell","PHI","44","52","41","44"
"Rachaad White","TB","45","40","40","60"
"Nyheim Hines","IND","46","49","45","49"
"Gus Edwards","BAL","47","48","48","48"
"Isaiah Spiller","LAC","48","51","47","46"
"James Cook","BUF","49","46","38","67"
"Eno Benjamin","ARI","50","59","53","43"
"Ronald Jones","KC","51","56","54","47"
"James Robinson","JAX","52","44","44","71"
"Damien Williams","ATL","53","54","52","56"
"Raheem Mostert","MIA","54","55","63","45"
"Alexander Mattison","MIN","55","53","62","50"
"Rex Burkhead","HOU","56","50","61","59"
"Khalil Herbert","CHI","57","67","68","37"
"Hassan Haskins","TEN","58","66","55","53"
"Kenyan Drake","LV","59","74","51","54"
"Matt Breida","NYG","60","65","59","55"
"Tyler Allgeier","ATL","61","64","58","63"
"Marlon Mack","HOU","62","62","57","66"
"Darrel Williams","ARI","63","45","67","75"
"Boston Scott","PHI","64","57","69","62"
"Brian Robinson","WAS","65","75","60","57"
"Jerick McKinnon","KC","66","69","56","70"
"Tyrion Davis-Price","SF","67","70","65","61"
"Mike Davis","BAL","68","58","75","64"
"Pierre Strong Jr.","NE","69","76","64","58"
"Sony Michel","MIA","70","63","66","72"
"Chris Evans","CIN","71","60","76","69"
"Jeff Wilson Jr.","SF","72","61","70","77"
"Trey Sermon","SF","73","72","71","68"
"Zamir White","LV","74","68","73","73"
"Benny Snell Jr.","PIT","75","73","77","65"
"Tyler Badie","BAL","76","71","74","74"
"D'Ernest Johnson","CLE","77","77","72","78"
"Isiah Pacheco","KC","78","78","78","76"
