"Name","Team","Rank","Andy","Jason","Mike"
"Mark Andrews","BAL","1","1","1","2"
"Travis Kelce","KC","2","2","2","1"
"Dalton Schultz","DAL","3","4","3","5"
"Kyle Pitts","ATL","4","3","4","6"
"Darren Waller","LV","5","5","6","3"
"George Kittle","SF","6","6","5","4"
"T.J. Hockenson","DET","7","10","7","7"
"Zach Ertz","ARI","8","7","11","8"
"Dallas Goedert","PHI","9","8","9","10"
"Cole Kmet","CHI","10","12","8","9"
"Dawson Knox","BUF","11","9","16","11"
"Pat Freiermuth","PIT","12","14","10","16"
"Hunter Henry","NE","13","11","13","19"
"Irv Smith Jr.","MIN","14","18","14","14"
"Noah Fant","SEA","15","15","15","17"
"Gerald Everett","LAC","16","23","12","15"
"Evan Engram","JAX","17","21","19","12"
"Mike Gesicki","MIA","18","16","20","18"
"Tyler Higbee","LAR","19","13","18","25"
"Logan Thomas","WAS","20","17","22","21"
"David Njoku","CLE","21","20","17","26"
"Albert Okwuegbunam","DEN","22","26","27","13"
"Austin Hooper","TEN","23","19","26","24"
"Mo Alie-Cox","IND","24","22","28","20"
"Hayden Hurst","CIN","25","28","24","23"
"Robert Tonyan","GB","26","25","21","30"
"Brevin Jordan","HOU","27","24","25","27"
"Adam Trautman","NO","28","29","34","22"
"Kyle Rudolph","TB","29","27","29","33"
"Cameron Brate","TB","30","35","32","28"
"Tommy Tremble","CAR","31","38","23","36"
"Jonnu Smith","NE","32","33","31","34"
"C.J. Uzomah","NYJ","33","34","33","31"
"Greg Dulcich","DEN","34","31","36","32"
"Daniel Bellinger","NYG","35","32","39","29"
"Trey McBride","ARI","36","30","35","35"
"Ricky Seals-Jones","NYG","37","36","30","37"
"Will Dissly","SEA","38","37","38","39"
"Jelani Woods","IND","39","39","37","38"
