"Name","Team","Rank","Andy","Jason","Mike"
"Cooper Kupp","LAR","1","1","1","2"
"Justin Jefferson","MIN","2","2","2","1"
"Ja'Marr Chase","CIN","3","4","3","4"
"Stefon Diggs","BUF","4","5","4","3"
"Davante Adams","LV","5","3","5","5"
"Deebo Samuel","SF","6","7","6","7"
"CeeDee Lamb","DAL","7","6","8","8"
"Mike Evans","TB","8","9","7","6"
"Mike Williams","LAC","9","8","12","9"
"Michael Pittman Jr.","IND","10","13","10","11"
"Tyreek Hill","MIA","11","10","11","15"
"Tee Higgins","CIN","12","14","9","16"
"Courtland Sutton","DEN","13","15","14","10"
"DJ Moore","CAR","14","11","13","17"
"Keenan Allen","LAC","15","17","17","12"
"Brandin Cooks","HOU","16","16","18","13"
"A.J. Brown","PHI","17","19","15","14"
"Marquise Brown","ARI","18","18","16","19"
"Jaylen Waddle","MIA","19","21","19","20"
"Allen Robinson II","LAR","20","12","27","26"
"Diontae Johnson","PIT","21","24","24","21"
"Darnell Mooney","CHI","22","23","26","22"
"Amon-Ra St. Brown","DET","23","20","21","31"
"Jerry Jeudy","DEN","24","30","20","23"
"Terry McLaurin","WAS","25","32","23","24"
"Adam Thielen","MIN","26","28","35","18"
"DK Metcalf","SEA","27","27","28","27"
"Rashod Bateman","BAL","28","33","22","32"
"Christian Kirk","JAX","29","31","32","28"
"JuJu Smith-Schuster","KC","30","26","33","33"
"Elijah Moore","NYJ","31","22","37","34"
"Amari Cooper","CLE","32","48","25","25"
"Hunter Renfrow","LV","33","29","34","37"
"Michael Thomas","NO","34","35","31","38"
"Robert Woods","TEN","35","25","39","41"
"DeVonta Smith","PHI","36","39","30","40"
"Gabe Davis","BUF","37","44","29","36"
"Chris Godwin","TB","38","47","45","35"
"Allen Lazard","GB","39","52","46","30"
"Tyler Lockett","SEA","40","38","56","39"
"Drake London","ATL","41","43","47","44"
"Kadarius Toney","NYG","42","53","36","49"
"DeVante Parker","NE","43","36","50","56"
"Chris Olave","NO","44","58","42","47"
"Garrett Wilson","NYJ","45","34","55","59"
"Treylon Burks","TEN","46","59","48","43"
"Marquez Valdes-Scantling","KC","47","70","51","29"
"Kenny Golladay","NYG","48","45","41","67"
"Chase Claypool","PIT","49","61","43","50"
"Brandon Aiyuk","SF","50","46","52","57"
"Marvin Jones Jr.","JAX","51","49","54","52"
"Tyler Boyd","CIN","52","51","60","46"
"Julio Jones","TB","53","55","44","63"
"Michael Gallup","DAL","54","37","66","66"
"K.J. Osborn","MIN","55","57","40","73"
"Jakobi Meyers","NE","56","63","38","71"
"Kendrick Bourne","NE","57","40","63","69"
"Randall Cobb","GB","58","66","64","45"
"Rondale Moore","ARI","59","64","79","42"
"Russell Gage","TB","60","74","53","60"
"Mecole Hardman","KC","61","41","59","88"
"Robbie Anderson","CAR","62","69","58","62"
"DeAndre Hopkins","ARI","63","62","49","79"
"KJ Hamler","DEN","64","50","74","68"
"Donovan Peoples-Jones","CLE","65","72","73","48"
"Jahan Dotson","WAS","66","54","71","70"
"Jameson Williams","DET","67","42","88","65"
"Corey Davis","NYJ","68","78","67","51"
"Van Jefferson","LAR","69","73","69","55"
"DJ Chark","DET","70","67","78","53"
"Jalen Tolbert","DAL","71","77","68","54"
"Curtis Samuel","WAS","72","60","76","64"
"Joshua Palmer","LAC","73","75","77","58"
"Cedrick Wilson Jr.","MIA","74","65","75","77"
"Jarvis Landry","NO","75","104","57","61"
"Nico Collins","HOU","76","79","62","82"
"A.J. Green","ARI","77","81","70","78"
"Devin Duvernay","BAL","78","71","61","97"
"Alec Pierce","IND","79","92","65","76"
"Skyy Moore","KC","80","80","80","80"
"George Pickens","PIT","81","68","83","89"
"Wan'Dale Robinson","NYG","82","85","72","84"
"Parris Campbell","IND","83","56","96","91"
"Zay Jones","JAX","84","93","85","72"
"Sammy Watkins","GB","85","82","94","75"
"Nick Westbrook-Ikhine","TEN","86","87","91","83"
"Bryan Edwards","ATL","87","97","90","74"
"Terrace Marshall Jr.","CAR","88","94","86","81"
"Jamison Crowder","BUF","89","88","84","95"
"Quez Watkins","PHI","90","84","99","85"
"N'Keal Harry","CHI","91","102","81","86"
"Isaiah McKenzie","BUF","92","96","82","94"
"Christian Watson","GB","93","98","87","87"
"Romeo Doubs","GB","94","83","89","101"
"David Bell","CLE","95","90","92","92"
"Olamide Zaccheaus","ATL","96","89","97","90"
"Byron Pringle","CHI","97","76","104","99"
"Deonte Harty","NO","98","91","98","96"
"Laviska Shenault Jr.","JAX","99","86","95","105"
"Velus Jones Jr.","CHI","100","95","93","100"
"Anthony Schwartz","CLE","101","100","100","93"
"Nelson Agholor","NE","102","101","101","98"
"Tyquan Thornton","NE","103","105","103","103"
"Calvin Austin III","PIT","104","106","105","102"
"Sterling Shepard","NYG","105","99","107","107"
"Tutu Atwell","LAR","106","107","102","104"
"James Washington","DAL","107","103","106","106"
"Tim Patrick","DEN","108","108","108","108"
"John Metchie III","HOU","109","109","109","109"
