"Name","Team","Rank","Andy","Jason","Mike"
"Josh Allen","BUF","1","1","1","1"
"Justin Herbert","LAC","2","2","2","4"
"Kyler Murray","ARI","3","3","3","5"
"Jalen Hurts","PHI","4","7","4","2"
"Lamar Jackson","BAL","5","4","6","3"
"Patrick Mahomes","KC","6","5","5","6"
"Tom Brady","TB","7","6","7","9"
"Russell Wilson","DEN","8","9","8","8"
"Joe Burrow","CIN","9","8","10","11"
"Trey Lance","SF","10","14","9","7"
"Dak Prescott","DAL","11","10","13","10"
"Matthew Stafford","LAR","12","13","11","12"
"Kirk Cousins","MIN","13","11","12","14"
"Aaron Rodgers","GB","14","12","14","13"
"Derek Carr","LV","15","15","15","16"
"Daniel Jones","NYG","16","20","16","19"
"Tua Tagovailoa","MIA","17","16","20","21"
"Trevor Lawrence","JAX","18","22","19","18"
"Matt Ryan","IND","19","18","22","20"
"Mac Jones","NE","20","17","21","23"
"Justin Fields","CHI","21","32","18","15"
"Ryan Tannehill","TEN","22","21","23","24"
"Jameis Winston","NO","23","28","26","17"
"Jared Goff","DET","24","19","28","26"
"Carson Wentz","WAS","25","23","29","22"
"Zach Wilson","NYJ","26","27","17","30"
"Mitch Trubisky","PIT","27","24","24","33"
"Baker Mayfield","CAR","28","29","27","28"
"Marcus Mariota","ATL","29","30","25","29"
"Davis Mills","HOU","30","25","31","31"
"Geno Smith","SEA","31","31","30","27"
"Kenny Pickett","PIT","32","33","34","25"
"Deshaun Watson","CLE","33","26","33","34"
"Jacoby Brissett","CLE","34","34","32","32"
