"Name","Team","Rank","Andy","Jason","Mike"
"Christian McCaffrey","CAR","1","1","1","1"
"Jonathan Taylor","IND","2","2","2","2"
"Austin Ekeler","LAC","3","3","3","3"
"Derrick Henry","TEN","4","4","4","11"
"Alvin Kamara","NO","5","6","8","5"
"Dalvin Cook","MIN","6","8","7","4"
"D'Andre Swift","DET","7","10","5","6"
"Leonard Fournette","TB","8","7","9","10"
"Najee Harris","PIT","9","12","6","9"
"Joe Mixon","CIN","10","5","10","13"
"Aaron Jones","GB","11","11","11","8"
"Ezekiel Elliott","DAL","12","9","14","12"
"James Conner","ARI","13","13","15","7"
"Saquon Barkley","NYG","14","14","12","15"
"Javonte Williams","DEN","15","19","13","14"
"Nick Chubb","CLE","16","15","17","16"
"David Montgomery","CHI","17","16","21","19"
"Cordarrelle Patterson","ATL","18","18","18","22"
"Breece Hall","NYJ","19","25","16","20"
"Travis Etienne Jr.","JAX","20","23","20","18"
"Josh Jacobs","LV","21","17","22","23"
"Chase Edmonds","MIA","22","22","19","24"
"Clyde Edwards-Helaire","KC","23","24","29","17"
"AJ Dillon","GB","24","20","32","21"
"Kareem Hunt","CLE","25","21","28","28"
"J.K. Dobbins","BAL","26","28","24","25"
"Antonio Gibson","WAS","27","30","23","29"
"Cam Akers","LAR","28","32","26","26"
"Tony Pollard","DAL","29","31","25","33"
"Elijah Mitchell","SF","30","36","27","27"
"Miles Sanders","PHI","31","27","35","31"
"Devin Singletary","BUF","32","26","36","32"
"Dameon Pierce","HOU","33","29","33","35"
"Damien Harris","NE","34","39","34","30"
"Melvin Gordon III","DEN","35","37","30","36"
"Rashaad Penny","SEA","36","41","31","34"
"Rhamondre Stevenson","NE","37","33","38","40"
"J.D. McKissic","WAS","38","35","45","39"
"Kenneth Walker III","SEA","39","42","37","42"
"Darrell Henderson Jr.","LAR","40","43","40","41"
"Michael Carter","NYJ","41","34","48","46"
"Jamaal Williams","DET","42","46","46","37"
"Nyheim Hines","IND","43","47","43","43"
"Mark Ingram II","NO","44","38","44","51"
"Rachaad White","TB","45","40","41","55"
"Kenneth Gainwell","PHI","46","49","42","45"
"James Cook","BUF","47","45","39","68"
"Rex Burkhead","HOU","48","54","50","50"
"Alexander Mattison","MIN","49","50","57","48"
"Eno Benjamin","ARI","50","60","52","44"
"Damien Williams","ATL","51","53","53","53"
"Isaiah Spiller","LAC","52","51","49","63"
"Raheem Mostert","MIA","53","55","61","47"
"Khalil Herbert","CHI","54","65","60","38"
"Gus Edwards","BAL","55","56","51","57"
"James Robinson","JAX","56","48","47","70"
"Jerick McKinnon","KC","57","68","54","49"
"Matt Breida","NYG","58","63","56","54"
"Boston Scott","PHI","59","57","66","56"
"Tyler Allgeier","ATL","60","62","55","62"
"Darrel Williams","ARI","61","44","64","73"
"Pierre Strong Jr.","NE","62","72","59","52"
"Mike Davis","BAL","63","52","73","61"
"Brian Robinson","WAS","64","73","58","58"
"Tyrion Davis-Price","SF","65","69","63","60"
"Isiah Pacheco","KC","66","67","62","66"
"Chris Evans","CIN","67","59","74","67"
"Hassan Haskins","TEN","68","64","65","71"
"Ronald Jones","KC","69","58","70","72"
"Jeff Wilson Jr.","SF","70","61","67","74"
"Zamir White","LV","71","66","71","65"
"Joshua Kelley","LAC","72","71","72","59"
"Trey Sermon","","73","70","68","69"
"Benny Snell Jr.","PIT","74","74","75","64"
"D'Ernest Johnson","CLE","75","75","69","75"
