"Name","Team","Rank","Andy","Jason","Mike"
"Cooper Kupp","LAR","1","1","1","1"
"Justin Jefferson","MIN","2","2","2","2"
"Stefon Diggs","BUF","3","4","3","3"
"Davante Adams","LV","4","3","4","4"
"Ja'Marr Chase","CIN","5","5","5","5"
"CeeDee Lamb","DAL","6","6","7","7"
"Deebo Samuel","SF","7","9","6","9"
"Mike Evans","TB","8","11","8","6"
"Michael Pittman Jr.","IND","9","13","9","10"
"DJ Moore","CAR","10","8","10","14"
"Tyreek Hill","MIA","11","7","12","15"
"Mike Williams","LAC","12","10","14","11"
"Keenan Allen","LAC","13","15","13","8"
"Tee Higgins","CIN","14","14","11","17"
"Courtland Sutton","DEN","15","19","15","12"
"Brandin Cooks","HOU","16","16","17","13"
"A.J. Brown","PHI","17","18","18","16"
"Marquise Brown","ARI","18","20","16","21"
"Jaylen Waddle","MIA","19","21","19","20"
"Allen Robinson II","LAR","20","12","26","23"
"Diontae Johnson","PIT","21","22","22","19"
"Amon-Ra St. Brown","DET","22","17","21","28"
"Darnell Mooney","CHI","23","23","25","22"
"Jerry Jeudy","DEN","24","28","20","24"
"Terry McLaurin","WAS","25","33","24","25"
"JuJu Smith-Schuster","KC","26","25","30","27"
"Adam Thielen","MIN","27","30","36","18"
"Rashod Bateman","BAL","28","31","23","32"
"Christian Kirk","JAX","29","29","29","29"
"Hunter Renfrow","LV","30","27","32","33"
"DK Metcalf","SEA","31","32","31","30"
"Elijah Moore","NYJ","32","26","38","35"
"Michael Thomas","NO","33","34","28","37"
"Amari Cooper","CLE","34","49","27","26"
"Robert Woods","TEN","35","24","39","39"
"DeVonta Smith","PHI","36","39","33","40"
"Chris Godwin","TB","37","43","41","34"
"Gabe Davis","BUF","38","47","34","38"
"Drake London","ATL","39","42","45","42"
"Kadarius Toney","NYG","40","50","37","48"
"Tyler Lockett","SEA","41","38","58","41"
"Allen Lazard","GB","42","54","47","36"
"DeVante Parker","NE","43","35","50","58"
"Garrett Wilson","NYJ","44","36","55","55"
"Chris Olave","NO","45","59","43","46"
"Marquez Valdes-Scantling","KC","46","68","49","31"
"Marvin Jones Jr.","JAX","47","46","53","50"
"Treylon Burks","TEN","48","60","48","44"
"Kenny Golladay","NYG","49","48","40","68"
"Tyler Boyd","CIN","50","52","57","47"
"Julio Jones","TB","51","51","44","63"
"Jakobi Meyers","NE","52","58","35","66"
"Brandon Aiyuk","SF","53","45","54","61"
"Chase Claypool","PIT","54","63","46","53"
"Michael Gallup","DAL","55","37","65","69"
"K.J. Osborn","MIN","56","57","42","73"
"Randall Cobb","GB","57","65","64","45"
"Kendrick Bourne","NE","58","44","63","70"
"Russell Gage","TB","59","70","51","59"
"Rondale Moore","ARI","60","62","76","43"
"Robbie Anderson","CAR","61","69","59","60"
"Mecole Hardman","KC","62","41","60","89"
"Jalen Tolbert","DAL","63","74","68","52"
"Jahan Dotson","WAS","64","55","72","67"
"Corey Davis","NYJ","65","80","66","49"
"Jameson Williams","DET","66","40","90","65"
"DeAndre Hopkins","ARI","67","64","52","80"
"KJ Hamler","DEN","68","53","75","72"
"Donovan Peoples-Jones","CLE","69","76","73","51"
"DJ Chark","DET","70","67","80","54"
"Curtis Samuel","WAS","71","61","78","64"
"Van Jefferson","LAR","72","77","70","62"
"Joshua Palmer","LAC","73","75","77","57"
"Jarvis Landry","NO","74","104","56","56"
"Cedrick Wilson Jr.","MIA","75","66","74","77"
"Nico Collins","HOU","76","78","62","81"
"Devin Duvernay","BAL","77","71","61","96"
"A.J. Green","ARI","78","81","69","82"
"Skyy Moore","KC","79","79","79","76"
"Alec Pierce","IND","80","91","67","78"
"Wan'Dale Robinson","NYG","81","84","71","84"
"Parris Campbell","IND","82","56","94","90"
"George Pickens","PIT","83","72","82","88"
"Zay Jones","JAX","84","93","85","71"
"Sammy Watkins","GB","85","82","97","75"
"Bryan Edwards","ATL","86","97","87","74"
"Terrace Marshall Jr.","CAR","87","94","86","79"
"Nick Westbrook-Ikhine","TEN","88","88","91","83"
"Jamison Crowder","BUF","89","87","83","93"
"Quez Watkins","PHI","90","86","98","85"
"N'Keal Harry","CHI","91","102","81","87"
"Romeo Doubs","GB","92","83","89","101"
"Isaiah McKenzie","BUF","93","96","84","94"
"David Bell","CLE","94","90","92","92"
"Christian Watson","GB","95","100","88","86"
"Olamide Zaccheaus","ATL","96","89","96","91"
"Byron Pringle","CHI","97","73","104","99"
"Laviska Shenault Jr.","JAX","98","85","93","105"
"Deonte Harty","NO","99","92","99","98"
"Velus Jones Jr.","CHI","100","95","95","100"
"Anthony Schwartz","CLE","101","99","100","95"
"Nelson Agholor","NE","102","101","101","97"
"Calvin Austin III","PIT","103","105","105","102"
"Tyquan Thornton","NE","104","106","103","103"
"Sterling Shepard","NYG","105","98","107","107"
"Tutu Atwell","LAR","106","107","102","104"
"James Washington","DAL","107","103","106","106"
"Tim Patrick","DEN","108","108","108","108"
"John Metchie III","HOU","109","109","109","109"
