"Name","Team","Rank","Andy","Jason","Mike"
"Jonathan Taylor","IND","1","1","1","1"
"Christian McCaffrey","CAR","2","2","3","2"
"Derrick Henry","TEN","3","3","2","3"
"Austin Ekeler","LAC","4","5","4","5"
"Dalvin Cook","MIN","5","7","5","4"
"Joe Mixon","CIN","6","4","6","10"
"Alvin Kamara","NO","7","6","9","7"
"James Conner","ARI","8","10","10","6"
"Nick Chubb","CLE","9","8","8","13"
"Ezekiel Elliott","DAL","10","9","12","8"
"Najee Harris","PIT","11","13","7","9"
"Aaron Jones","GB","12","11","16","11"
"Leonard Fournette","TB","13","12","11","15"
"Javonte Williams","DEN","14","17","15","12"
"D'Andre Swift","DET","15","14","14","16"
"Saquon Barkley","NYG","16","18","17","14"
"David Montgomery","CHI","17","15","18","21"
"Breece Hall","NYJ","18","21","13","25"
"Antonio Gibson","WAS","19","23","19","17"
"Josh Jacobs","LV","20","19","26","20"
"Elijah Mitchell","SF","21","25","22","22"
"Cam Akers","LAR","22","26","27","18"
"Travis Etienne Jr.","JAX","23","31","23","19"
"Cordarrelle Patterson","ATL","24","20","24","30"
"J.K. Dobbins","BAL","25","22","21","32"
"Damien Harris","NE","26","33","20","24"
"AJ Dillon","GB","27","16","35","27"
"Clyde Edwards-Helaire","KC","28","24","32","23"
"Chase Edmonds","MIA","29","30","25","26"
"Miles Sanders","PHI","30","29","28","29"
"Kareem Hunt","CLE","31","28","31","28"
"Rashaad Penny","SEA","32","37","30","31"
"Melvin Gordon III","DEN","33","35","29","34"
"Devin Singletary","BUF","34","32","36","33"
"Tony Pollard","DAL","35","34","34","35"
"Rhamondre Stevenson","NE","36","27","37","40"
"Kenneth Walker III","SEA","37","36","33","37"
"Darrell Henderson Jr.","LAR","38","41","38","41"
"Jamaal Williams","DET","39","43","43","36"
"Dameon Pierce","HOU","40","44","44","39"
"Gus Edwards","BAL","41","46","45","43"
"Mark Ingram II","NO","42","45","41","51"
"Rachaad White","TB","43","38","40","61"
"Michael Carter","NYJ","44","39","50","50"
"Isaiah Spiller","LAC","45","49","47","45"
"J.D. McKissic","WAS","46","40","56","48"
"Kenneth Gainwell","PHI","47","53","42","52"
"Ronald Jones","KC","48","55","48","46"
"James Cook","BUF","49","48","39","68"
"Raheem Mostert","MIA","50","56","58","42"
"Nyheim Hines","IND","51","51","51","55"
"James Robinson","JAX","52","42","46","70"
"Eno Benjamin","ARI","53","60","54","44"
"Alexander Mattison","MIN","54","52","63","47"
"Hassan Haskins","TEN","55","66","49","49"
"Damien Williams","ATL","56","54","53","59"
"Rex Burkhead","HOU","57","50","62","57"
"Khalil Herbert","CHI","58","67","67","38"
"Matt Breida","NYG","59","62","61","54"
"Tyler Allgeier","ATL","60","61","57","63"
"Marlon Mack","HOU","61","64","52","65"
"Kenyan Drake","LV","62","75","55","56"
"Boston Scott","PHI","63","57","69","60"
"Brian Robinson","WAS","64","74","60","53"
"Darrel Williams","ARI","65","47","68","75"
"Tyrion Davis-Price","SF","66","69","64","58"
"Sony Michel","MIA","67","65","65","69"
"Mike Davis","BAL","68","59","74","66"
"Jerick McKinnon","KC","69","72","59","71"
"Pierre Strong Jr.","NE","70","76","66","62"
"Jeff Wilson Jr.","SF","71","58","71","77"
"Trey Sermon","SF","72","71","70","67"
"Chris Evans","CIN","73","63","76","72"
"Benny Snell Jr.","PIT","74","73","77","64"
"Zamir White","LV","75","68","73","74"
"Tyler Badie","BAL","76","70","75","73"
"D'Ernest Johnson","CLE","77","77","72","78"
"Isiah Pacheco","KC","78","78","78","76"
