"Name","Team","Rank","Andy","Jason","Mike"
"Mark Andrews","BAL","1","1","1","2"
"Travis Kelce","KC","2","2","2","1"
"Kyle Pitts","ATL","3","3","3","3"
"Dalton Schultz","DAL","4","4","4","6"
"George Kittle","SF","5","5","5","4"
"Darren Waller","LV","6","6","6","5"
"Dallas Goedert","PHI","7","7","8","9"
"T.J. Hockenson","DET","8","11","7","10"
"Dawson Knox","BUF","9","8","14","7"
"Cole Kmet","CHI","10","14","10","8"
"Zach Ertz","ARI","11","9","13","12"
"Hunter Henry","NE","12","10","12","15"
"Pat Freiermuth","PIT","13","13","9","17"
"Irv Smith Jr.","MIN","14","22","16","11"
"Noah Fant","SEA","15","16","17","18"
"Gerald Everett","LAC","16","25","11","16"
"Evan Engram","JAX","17","23","19","14"
"Mike Gesicki","MIA","18","15","22","19"
"Tyler Higbee","LAR","19","12","20","26"
"David Njoku","CLE","20","18","15","25"
"Logan Thomas","WAS","21","17","21","22"
"Albert Okwuegbunam","DEN","22","24","29","13"
"Mo Alie-Cox","IND","23","20","26","20"
"Austin Hooper","TEN","24","19","27","24"
"Robert Tonyan","GB","25","26","18","29"
"Brevin Jordan","HOU","26","21","25","27"
"Hayden Hurst","CIN","27","28","24","23"
"Adam Trautman","NO","28","29","34","21"
"Kyle Rudolph","TB","29","27","28","33"
"Cameron Brate","TB","30","35","32","28"
"Tommy Tremble","CAR","31","38","23","36"
"Greg Dulcich","DEN","32","30","35","32"
"Jonnu Smith","NE","33","33","31","34"
"C.J. Uzomah","NYJ","34","34","33","31"
"Daniel Bellinger","NYG","35","32","39","30"
"Trey McBride","ARI","36","31","36","35"
"Ricky Seals-Jones","NYG","37","37","30","37"
"Will Dissly","SEA","38","36","38","39"
"Jelani Woods","IND","39","39","37","38"
