"Name","Team","Rank","Andy","Jason","Mike"
"Justin Jefferson","MIN","1","1","1","1"
"Cooper Kupp","LAR","2","2","2","2"
"Ja'Marr Chase","CIN","3","3","3","3"
"Stefon Diggs","BUF","4","6","4","4"
"Davante Adams","LV","5","4","5","6"
"Deebo Samuel","SF","6","7","6","7"
"Mike Evans","TB","7","9","7","5"
"CeeDee Lamb","DAL","8","5","8","9"
"Mike Williams","LAC","9","8","10","8"
"Courtland Sutton","DEN","10","12","12","10"
"Tee Higgins","CIN","11","13","9","13"
"Tyreek Hill","MIA","12","10","11","14"
"Michael Pittman Jr.","IND","13","14","13","12"
"A.J. Brown","PHI","14","17","14","11"
"DJ Moore","CAR","15","11","15","18"
"Marquise Brown","ARI","16","16","16","16"
"Brandin Cooks","HOU","17","18","20","15"
"Jaylen Waddle","MIA","18","22","21","20"
"DK Metcalf","SEA","19","20","18","26"
"Keenan Allen","LAC","20","21","28","17"
"Darnell Mooney","CHI","21","23","27","21"
"Jerry Jeudy","DEN","22","31","17","23"
"Terry McLaurin","WAS","23","29","19","24"
"Allen Robinson II","LAR","24","15","29","30"
"Adam Thielen","MIN","25","24","34","19"
"Diontae Johnson","PIT","26","28","30","25"
"Amon-Ra St. Brown","DET","27","25","23","38"
"Elijah Moore","NYJ","28","19","36","32"
"Rashod Bateman","BAL","29","32","22","33"
"Christian Kirk","JAX","30","33","32","29"
"Gabe Davis","BUF","31","41","25","31"
"Amari Cooper","CLE","32","52","24","22"
"DeVonta Smith","PHI","33","40","26","37"
"Michael Thomas","NO","34","36","31","36"
"JuJu Smith-Schuster","KC","35","30","33","43"
"Hunter Renfrow","LV","36","34","35","41"
"Allen Lazard","GB","37","48","40","27"
"Robert Woods","TEN","38","27","42","47"
"Tyler Lockett","SEA","39","35","56","34"
"Chris Godwin","TB","40","51","51","35"
"Drake London","ATL","41","46","48","45"
"Garrett Wilson","NYJ","42","26","53","62"
"DeVante Parker","NE","43","38","49","55"
"Chase Claypool","PIT","44","59","39","46"
"Treylon Burks","TEN","45","60","45","40"
"Kadarius Toney","NYG","46","58","37","51"
"Kenny Golladay","NYG","47","42","41","64"
"Brandon Aiyuk","SF","48","45","50","56"
"Chris Olave","NO","49","61","43","49"
"Marquez Valdes-Scantling","KC","50","73","52","28"
"Tyler Boyd","CIN","51","49","64","44"
"Michael Gallup","DAL","52","37","66","58"
"K.J. Osborn","MIN","53","54","38","70"
"Marvin Jones Jr.","JAX","54","56","54","54"
"Julio Jones","TB","55","55","47","67"
"Kendrick Bourne","NE","56","39","63","69"
"Randall Cobb","GB","57","67","65","42"
"KJ Hamler","DEN","58","47","70","61"
"DeAndre Hopkins","ARI","59","57","46","77"
"Donovan Peoples-Jones","CLE","60","65","73","48"
"Van Jefferson","LAR","61","69","67","50"
"Rondale Moore","ARI","62","68","82","39"
"Mecole Hardman","KC","63","43","58","88"
"Russell Gage","TB","64","76","55","59"
"Jameson Williams","DET","65","44","85","63"
"Jakobi Meyers","NE","66","70","44","79"
"DJ Chark","DET","67","66","75","52"
"Jahan Dotson","WAS","68","50","72","72"
"Corey Davis","NYJ","69","74","68","53"
"Robbie Anderson","CAR","70","72","59","65"
"Curtis Samuel","WAS","71","62","76","68"
"Jalen Tolbert","DAL","72","80","69","57"
"Joshua Palmer","LAC","73","75","78","60"
"Cedrick Wilson Jr.","MIA","74","63","77","76"
"Nico Collins","HOU","75","81","62","80"
"Alec Pierce","IND","76","92","61","73"
"Devin Duvernay","BAL","77","71","57","99"
"A.J. Green","ARI","78","82","71","75"
"Jarvis Landry","NO","79","104","60","66"
"George Pickens","PIT","80","64","83","92"
"Skyy Moore","KC","81","78","79","84"
"Parris Campbell","IND","82","53","97","91"
"Wan'Dale Robinson","NYG","83","87","74","81"
"Sammy Watkins","GB","84","79","93","78"
"Zay Jones","JAX","85","93","87","74"
"Bryan Edwards","ATL","86","95","92","71"
"Nick Westbrook-Ikhine","TEN","87","86","88","85"
"Terrace Marshall Jr.","CAR","88","96","86","82"
"N'Keal Harry","CHI","89","102","81","83"
"Quez Watkins","PHI","90","84","99","86"
"Christian Watson","GB","91","98","84","87"
"Olamide Zaccheaus","ATL","92","85","96","89"
"David Bell","CLE","93","88","90","93"
"Isaiah McKenzie","BUF","94","97","80","95"
"Romeo Doubs","GB","95","83","89","101"
"Deonte Harty","NO","96","90","95","94"
"Jamison Crowder","BUF","97","91","91","97"
"Byron Pringle","CHI","98","77","104","98"
"Velus Jones Jr.","CHI","99","94","94","100"
"Anthony Schwartz","CLE","100","100","101","90"
"Laviska Shenault Jr.","JAX","101","89","98","105"
"Nelson Agholor","NE","102","101","100","96"
"Tyquan Thornton","NE","103","105","102","103"
"Calvin Austin III","PIT","104","106","105","102"
"Sterling Shepard","NYG","105","99","107","107"
"Tutu Atwell","LAR","106","107","103","104"
"James Washington","DAL","107","103","106","106"
"Tim Patrick","DEN","108","108","108","108"
"John Metchie III","HOU","109","109","109","109"
